track_id,fragment_id,wav_path,class,label
[pia][pop_roc]1320__3,[pia][pop_roc]1320__3,IRMAS-TrainingData\pia\[pia][pop_roc]1320__3.wav,Piano,0
160__[pia][nod][jaz_blu]1433__2,160__[pia][nod][jaz_blu]1433__2,IRMAS-TrainingData\pia\160__[pia][nod][jaz_blu]1433__2.wav,Piano,0
042__[pia][nod][cla]1409__3,042__[pia][nod][cla]1409__3,IRMAS-TrainingData\pia\042__[pia][nod][cla]1409__3.wav,Piano,0
[pia][cla]1444__1,[pia][cla]1444__1,IRMAS-TrainingData\pia\[pia][cla]1444__1.wav,Piano,0
[pia][cla]1352__2,[pia][cla]1352__2,IRMAS-TrainingData\pia\[pia][cla]1352__2.wav,Piano,0
[pia][cla]1324__2,[pia][cla]1324__2,IRMAS-TrainingData\pia\[pia][cla]1324__2.wav,Piano,0
199__[pia][nod][cla]1383__1,199__[pia][nod][cla]1383__1,IRMAS-TrainingData\pia\199__[pia][nod][cla]1383__1.wav,Piano,0
153__[pia][dru][cou_fol]1419__1,153__[pia][dru][cou_fol]1419__1,IRMAS-TrainingData\pia\153__[pia][dru][cou_fol]1419__1.wav,Piano,0
[pia][pop_roc]1351__3,[pia][pop_roc]1351__3,IRMAS-TrainingData\pia\[pia][pop_roc]1351__3.wav,Piano,0
[pia][jaz_blu]1520__3,[pia][jaz_blu]1520__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1520__3.wav,Piano,0
134__[pia][nod][cla]1405__1,134__[pia][nod][cla]1405__1,IRMAS-TrainingData\pia\134__[pia][nod][cla]1405__1.wav,Piano,0
[pia][pop_roc]1282__1,[pia][pop_roc]1282__1,IRMAS-TrainingData\pia\[pia][pop_roc]1282__1.wav,Piano,0
[pia][jaz_blu]1474__3,[pia][jaz_blu]1474__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1474__3.wav,Piano,0
056__[pia][nod][cla]1385__1,056__[pia][nod][cla]1385__1,IRMAS-TrainingData\pia\056__[pia][nod][cla]1385__1.wav,Piano,0
055__[pia][dru][cou_fol]1420__2,055__[pia][dru][cou_fol]1420__2,IRMAS-TrainingData\pia\055__[pia][dru][cou_fol]1420__2.wav,Piano,0
137__[pia][nod][cla]1381__1,137__[pia][nod][cla]1381__1,IRMAS-TrainingData\pia\137__[pia][nod][cla]1381__1.wav,Piano,0
[pia][cla]1322__3,[pia][cla]1322__3,IRMAS-TrainingData\pia\[pia][cla]1322__3.wav,Piano,0
[pia][cla]1338__1,[pia][cla]1338__1,IRMAS-TrainingData\pia\[pia][cla]1338__1.wav,Piano,0
[pia][jaz_blu]1507__1,[pia][jaz_blu]1507__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1507__1.wav,Piano,0
[pia][pop_roc]1289__1,[pia][pop_roc]1289__1,IRMAS-TrainingData\pia\[pia][pop_roc]1289__1.wav,Piano,0
051__[pia][dru][jaz_blu]1431__2,051__[pia][dru][jaz_blu]1431__2,IRMAS-TrainingData\pia\051__[pia][dru][jaz_blu]1431__2.wav,Piano,0
[pia][jaz_blu]1526__1,[pia][jaz_blu]1526__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1526__1.wav,Piano,0
[pia][cla]1294__1,[pia][cla]1294__1,IRMAS-TrainingData\pia\[pia][cla]1294__1.wav,Piano,0
[pia][pop_roc]1331__3,[pia][pop_roc]1331__3,IRMAS-TrainingData\pia\[pia][pop_roc]1331__3.wav,Piano,0
[pia][pop_roc]1536__2,[pia][pop_roc]1536__2,IRMAS-TrainingData\pia\[pia][pop_roc]1536__2.wav,Piano,0
[pia][jaz_blu]1473__3,[pia][jaz_blu]1473__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1473__3.wav,Piano,0
[pia][cla]1323__2,[pia][cla]1323__2,IRMAS-TrainingData\pia\[pia][cla]1323__2.wav,Piano,0
[pia][jaz_blu]1483__3,[pia][jaz_blu]1483__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1483__3.wav,Piano,0
[pia][pop_roc]1281__3,[pia][pop_roc]1281__3,IRMAS-TrainingData\pia\[pia][pop_roc]1281__3.wav,Piano,0
[pia][cla]1447__2,[pia][cla]1447__2,IRMAS-TrainingData\pia\[pia][cla]1447__2.wav,Piano,0
004__[pia][nod][cla]1394__1,004__[pia][nod][cla]1394__1,IRMAS-TrainingData\pia\004__[pia][nod][cla]1394__1.wav,Piano,0
222__[pia][nod][pop_roc]1438__1,222__[pia][nod][pop_roc]1438__1,IRMAS-TrainingData\pia\222__[pia][nod][pop_roc]1438__1.wav,Piano,0
[pia][pop_roc]1450__1,[pia][pop_roc]1450__1,IRMAS-TrainingData\pia\[pia][pop_roc]1450__1.wav,Piano,0
[pia][jaz_blu]1340__2,[pia][jaz_blu]1340__2,IRMAS-TrainingData\pia\[pia][jaz_blu]1340__2.wav,Piano,0
[pia][pop_roc]1351__2,[pia][pop_roc]1351__2,IRMAS-TrainingData\pia\[pia][pop_roc]1351__2.wav,Piano,0
219__[pia][nod][cla]1393__3,219__[pia][nod][cla]1393__3,IRMAS-TrainingData\pia\219__[pia][nod][cla]1393__3.wav,Piano,0
[pia][cla]1312__3,[pia][cla]1312__3,IRMAS-TrainingData\pia\[pia][cla]1312__3.wav,Piano,0
[pia][jaz_blu]1339__1,[pia][jaz_blu]1339__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1339__1.wav,Piano,0
[pia][pop_roc]1537__1,[pia][pop_roc]1537__1,IRMAS-TrainingData\pia\[pia][pop_roc]1537__1.wav,Piano,0
135__[pia][nod][cla]1396__3,135__[pia][nod][cla]1396__3,IRMAS-TrainingData\pia\135__[pia][nod][cla]1396__3.wav,Piano,0
[pia][jaz_blu]1452__2,[pia][jaz_blu]1452__2,IRMAS-TrainingData\pia\[pia][jaz_blu]1452__2.wav,Piano,0
144__[pia][nod][cla]1380__2,144__[pia][nod][cla]1380__2,IRMAS-TrainingData\pia\144__[pia][nod][cla]1380__2.wav,Piano,0
[pia][jaz_blu]1358__3,[pia][jaz_blu]1358__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1358__3.wav,Piano,0
[pia][jaz_blu]1348__3,[pia][jaz_blu]1348__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1348__3.wav,Piano,0
[pia][pop_roc]1289__3,[pia][pop_roc]1289__3,IRMAS-TrainingData\pia\[pia][pop_roc]1289__3.wav,Piano,0
[pia][cla]1369__2,[pia][cla]1369__2,IRMAS-TrainingData\pia\[pia][cla]1369__2.wav,Piano,0
067__[pia][nod][cla]1388__1,067__[pia][nod][cla]1388__1,IRMAS-TrainingData\pia\067__[pia][nod][cla]1388__1.wav,Piano,0
[pia][jaz_blu]1487__2,[pia][jaz_blu]1487__2,IRMAS-TrainingData\pia\[pia][jaz_blu]1487__2.wav,Piano,0
[pia][jaz_blu]1517__3,[pia][jaz_blu]1517__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1517__3.wav,Piano,0
178__[pia][nod][cla]1379__3,178__[pia][nod][cla]1379__3,IRMAS-TrainingData\pia\178__[pia][nod][cla]1379__3.wav,Piano,0
[pia][jaz_blu]1373__3,[pia][jaz_blu]1373__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1373__3.wav,Piano,0
124__[pia][nod][jaz_blu]1426__1,124__[pia][nod][jaz_blu]1426__1,IRMAS-TrainingData\pia\124__[pia][nod][jaz_blu]1426__1.wav,Piano,0
[pia][jaz_blu]1523__1,[pia][jaz_blu]1523__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1523__1.wav,Piano,0
[pia][cla]1457__3,[pia][cla]1457__3,IRMAS-TrainingData\pia\[pia][cla]1457__3.wav,Piano,0
[pia][pop_roc]1315__2,[pia][pop_roc]1315__2,IRMAS-TrainingData\pia\[pia][pop_roc]1315__2.wav,Piano,0
[pia][pop_roc]1306__1,[pia][pop_roc]1306__1,IRMAS-TrainingData\pia\[pia][pop_roc]1306__1.wav,Piano,0
[pia][jaz_blu]1359__3,[pia][jaz_blu]1359__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1359__3.wav,Piano,0
[pia][jaz_blu]1531__3,[pia][jaz_blu]1531__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1531__3.wav,Piano,0
[pia][cla]1291__2,[pia][cla]1291__2,IRMAS-TrainingData\pia\[pia][cla]1291__2.wav,Piano,0
112__[pia][nod][cla]1392__1,112__[pia][nod][cla]1392__1,IRMAS-TrainingData\pia\112__[pia][nod][cla]1392__1.wav,Piano,0
067__[pia][nod][cla]1388__3,067__[pia][nod][cla]1388__3,IRMAS-TrainingData\pia\067__[pia][nod][cla]1388__3.wav,Piano,0
[pia][cla]1327__1,[pia][cla]1327__1,IRMAS-TrainingData\pia\[pia][cla]1327__1.wav,Piano,0
