track_id,fragment_id,wav_path,class,label
[pia][pop_roc]1345__3,[pia][pop_roc]1345__3,IRMAS-TrainingData\pia\[pia][pop_roc]1345__3.wav,Piano,0
[pia][pop_roc]1546__1,[pia][pop_roc]1546__1,IRMAS-TrainingData\pia\[pia][pop_roc]1546__1.wav,Piano,0
[pia][pop_roc]1443__3,[pia][pop_roc]1443__3,IRMAS-TrainingData\pia\[pia][pop_roc]1443__3.wav,Piano,0
[pia][jaz_blu]1514__2,[pia][jaz_blu]1514__2,IRMAS-TrainingData\pia\[pia][jaz_blu]1514__2.wav,Piano,0
137__[pia][nod][cla]1381__1,137__[pia][nod][cla]1381__1,IRMAS-TrainingData\pia\137__[pia][nod][cla]1381__1.wav,Piano,0
[pia][pop_roc]1330__1,[pia][pop_roc]1330__1,IRMAS-TrainingData\pia\[pia][pop_roc]1330__1.wav,Piano,0
[pia][pop_roc]1546__2,[pia][pop_roc]1546__2,IRMAS-TrainingData\pia\[pia][pop_roc]1546__2.wav,Piano,0
[pia][jaz_blu]1475__1,[pia][jaz_blu]1475__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1475__1.wav,Piano,0
[pia][jaz_blu]1508__1,[pia][jaz_blu]1508__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1508__1.wav,Piano,0
[pia][jaz_blu]1359__3,[pia][jaz_blu]1359__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1359__3.wav,Piano,0
031__[pia][nod][cla]1444__1,031__[pia][nod][cla]1444__1,IRMAS-TrainingData\pia\031__[pia][nod][cla]1444__1.wav,Piano,0
[pia][jaz_blu]1360__1,[pia][jaz_blu]1360__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1360__1.wav,Piano,0
[pia][cla]1562__1,[pia][cla]1562__1,IRMAS-TrainingData\pia\[pia][cla]1562__1.wav,Piano,0
254__[pia][nod][cla]1406__1,254__[pia][nod][cla]1406__1,IRMAS-TrainingData\pia\254__[pia][nod][cla]1406__1.wav,Piano,0
[pia][cla]1312__2,[pia][cla]1312__2,IRMAS-TrainingData\pia\[pia][cla]1312__2.wav,Piano,0
[pia][jaz_blu]1340__3,[pia][jaz_blu]1340__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1340__3.wav,Piano,0
[pia][jaz_blu]1500__2,[pia][jaz_blu]1500__2,IRMAS-TrainingData\pia\[pia][jaz_blu]1500__2.wav,Piano,0
[pia][cla]1291__2,[pia][cla]1291__2,IRMAS-TrainingData\pia\[pia][cla]1291__2.wav,Piano,0
[pia][cla]1325__2,[pia][cla]1325__2,IRMAS-TrainingData\pia\[pia][cla]1325__2.wav,Piano,0
196__[pia][nod][pop_roc]1439__2,196__[pia][nod][pop_roc]1439__2,IRMAS-TrainingData\pia\196__[pia][nod][pop_roc]1439__2.wav,Piano,0
219__[pia][nod][cla]1393__2,219__[pia][nod][cla]1393__2,IRMAS-TrainingData\pia\219__[pia][nod][cla]1393__2.wav,Piano,0
118__[pia][dru][jaz_blu]1429__3,118__[pia][dru][jaz_blu]1429__3,IRMAS-TrainingData\pia\118__[pia][dru][jaz_blu]1429__3.wav,Piano,0
[pia][cla]1458__2,[pia][cla]1458__2,IRMAS-TrainingData\pia\[pia][cla]1458__2.wav,Piano,0
152__[pia][dru][pop_roc]1440__3,152__[pia][dru][pop_roc]1440__3,IRMAS-TrainingData\pia\152__[pia][dru][pop_roc]1440__3.wav,Piano,0
[pia][jaz_blu]1507__3,[pia][jaz_blu]1507__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1507__3.wav,Piano,0
[pia][jaz_blu]1518__3,[pia][jaz_blu]1518__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1518__3.wav,Piano,0
[pia][pop_roc]1541__2,[pia][pop_roc]1541__2,IRMAS-TrainingData\pia\[pia][pop_roc]1541__2.wav,Piano,0
063__[pia][nod][cla]1418__1,063__[pia][nod][cla]1418__1,IRMAS-TrainingData\pia\063__[pia][nod][cla]1418__1.wav,Piano,0
[pia][pop_roc]1335__3,[pia][pop_roc]1335__3,IRMAS-TrainingData\pia\[pia][pop_roc]1335__3.wav,Piano,0
[pia][jaz_blu]1339__1,[pia][jaz_blu]1339__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1339__1.wav,Piano,0
[pia][pop_roc]1303__3,[pia][pop_roc]1303__3,IRMAS-TrainingData\pia\[pia][pop_roc]1303__3.wav,Piano,0
187__[pia][nod][cla]1404__2,187__[pia][nod][cla]1404__2,IRMAS-TrainingData\pia\187__[pia][nod][cla]1404__2.wav,Piano,0
[pia][pop_roc]1287__2,[pia][pop_roc]1287__2,IRMAS-TrainingData\pia\[pia][pop_roc]1287__2.wav,Piano,0
[pia][jaz_blu]1373__1,[pia][jaz_blu]1373__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1373__1.wav,Piano,0
219__[pia][nod][cla]1393__1,219__[pia][nod][cla]1393__1,IRMAS-TrainingData\pia\219__[pia][nod][cla]1393__1.wav,Piano,0
224__[pia][dru][cou_fol]1422__1,224__[pia][dru][cou_fol]1422__1,IRMAS-TrainingData\pia\224__[pia][dru][cou_fol]1422__1.wav,Piano,0
254__[pia][nod][cla]1406__2,254__[pia][nod][cla]1406__2,IRMAS-TrainingData\pia\254__[pia][nod][cla]1406__2.wav,Piano,0
[pia][pop_roc]1311__1,[pia][pop_roc]1311__1,IRMAS-TrainingData\pia\[pia][pop_roc]1311__1.wav,Piano,0
228__[pia][nod][pop_roc]1437__1,228__[pia][nod][pop_roc]1437__1,IRMAS-TrainingData\pia\228__[pia][nod][pop_roc]1437__1.wav,Piano,0
[pia][jaz_blu]1480__1,[pia][jaz_blu]1480__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1480__1.wav,Piano,0
067__[pia][nod][cla]1388__1,067__[pia][nod][cla]1388__1,IRMAS-TrainingData\pia\067__[pia][nod][cla]1388__1.wav,Piano,0
[pia][jaz_blu]1470__3,[pia][jaz_blu]1470__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1470__3.wav,Piano,0
[pia][jaz_blu]1360__3,[pia][jaz_blu]1360__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1360__3.wav,Piano,0
[pia][cla]1341__3,[pia][cla]1341__3,IRMAS-TrainingData\pia\[pia][cla]1341__3.wav,Piano,0
[pia][jaz_blu]1482__1,[pia][jaz_blu]1482__1,IRMAS-TrainingData\pia\[pia][jaz_blu]1482__1.wav,Piano,0
[pia][pop_roc]1296__2,[pia][pop_roc]1296__2,IRMAS-TrainingData\pia\[pia][pop_roc]1296__2.wav,Piano,0
[pia][cla]1449__3,[pia][cla]1449__3,IRMAS-TrainingData\pia\[pia][cla]1449__3.wav,Piano,0
[pia][jaz_blu]1483__3,[pia][jaz_blu]1483__3,IRMAS-TrainingData\pia\[pia][jaz_blu]1483__3.wav,Piano,0
[pia][cla]1338__2,[pia][cla]1338__2,IRMAS-TrainingData\pia\[pia][cla]1338__2.wav,Piano,0
